***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "18-07-09-03-12-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; Rotation.Virtualizer; Rotation.Controller.x; Rotation.Controller.y; Height.Virtualizer; FPS; Input;
65231.5421;(-15.8044, 2.5100, -33.4400);284.4187;354.4313;264.3750;287.8133;353.3429;17.5260;89.3120;;
65231.5531;(-15.8044, 2.5100, -33.4400);284.4366;354.4369;264.3750;287.8068;353.3428;17.5260;89.4668;;
65231.5646;(-15.8044, 2.5100, -33.4400);284.4413;354.4423;264.3750;287.8165;353.3396;17.5260;89.4186;;
65231.5756;(-15.8044, 2.5100, -33.4400);284.4553;354.4465;264.3750;287.8204;353.3383;17.5260;89.3255;;
65231.5867;(-15.8044, 2.5100, -33.4400);284.4585;354.4460;264.3750;287.8286;353.3346;17.5260;89.3877;;
65231.5982;(-15.8044, 2.5100, -33.4400);284.4702;354.4650;264.3750;287.8271;353.3328;17.5260;89.5896;;
65231.6092;(-15.8044, 2.5100, -33.4400);284.4938;354.4679;264.3750;287.8219;353.3261;17.5260;89.4666;;
65231.6202;(-15.8044, 2.5100, -33.4400);284.5035;354.4719;264.3750;287.8245;353.3243;17.5260;89.5618;;
65231.6317;(-15.8044, 2.5100, -33.4400);284.5289;354.4682;264.3750;287.8179;353.3282;17.5260;89.5004;;
65231.6422;(-15.8044, 2.5100, -33.4400);284.5378;354.4817;264.3750;287.8162;353.3391;17.5260;89.3912;;
65231.6537;(-15.8044, 2.5100, -33.4400);284.5365;354.4838;264.3750;287.8167;353.3347;17.5260;89.6584;;
65231.6647;(-15.8044, 2.5100, -33.4400);284.5580;354.4717;264.3750;287.8210;353.3392;17.5260;89.5002;;
65231.6763;(-15.8044, 2.5100, -33.4400);284.5599;354.4689;264.3750;287.8195;353.3320;17.5260;89.5341;;
65231.6873;(-15.8044, 2.5100, -33.4400);284.5646;354.4599;264.3750;287.8262;353.3258;17.5260;89.5149;;
65231.6983;(-15.8044, 2.5100, -33.4400);284.5576;354.4424;264.3750;287.8312;353.3279;17.5260;89.6176;;
